gfx,cu_num,M,N,K,bias,dtype,outdtype,scaleAB,bpreshuffle,libtype,solidx,splitK,us,kernelName,err_ratio,tflops,bw
gfx1250,256,11,6144,12288,False,torch.bfloat16,torch.bfloat16,False,False,triton,0,0,0.0207,auto,0.0,80.27,7316.86
gfx1250,256,11,9216,6144,False,torch.bfloat16,torch.bfloat16,False,False,triton,0,0,0.0123,auto,0.0,101.66,9269.15
gfx1250,256,11,9856,6144,False,torch.bfloat16,torch.bfloat16,False,False,triton,0,0,0.0153,auto,0.0,87.10,7940.80
gfx1250,256,11,24576,6144,False,torch.bfloat16,torch.bfloat16,False,False,triton,0,0,0.0366,auto,0.0,90.70,8264.14
gfx1250,256,11,200064,6144,False,torch.bfloat16,torch.bfloat16,False,False,triton,0,0,0.3277,auto,0.0,82.51,7515.14
gfx1250,256,12,128,6144,False,torch.bfloat16,torch.bfloat16,False,False,triton,0,0,0.0092,auto,0.0,2.06,187.98
gfx1250,256,12,6144,8192,False,torch.bfloat16,torch.bfloat16,False,False,triton,0,0,0.0124,auto,0.0,97.27,8133.29
gfx1250,256,12,6144,12288,False,torch.bfloat16,torch.bfloat16,False,False,triton,0,0,0.0206,auto,0.0,87.81,7338.86
gfx1250,256,12,9216,6144,False,torch.bfloat16,torch.bfloat16,False,False,triton,0,0,0.0123,auto,0.0,110.57,9244.50
gfx1250,256,12,9856,6144,False,torch.bfloat16,torch.bfloat16,False,False,triton,0,0,0.0153,auto,0.0,94.88,7931.49
gfx1250,256,12,24576,6144,False,torch.bfloat16,torch.bfloat16,False,False,triton,0,0,0.0367,auto,0.0,98.62,8238.15
gfx1250,256,12,200064,6144,False,torch.bfloat16,torch.bfloat16,False,False,triton,0,0,0.3285,auto,0.0,89.79,7497.96
gfx1250,256,13,128,6144,False,torch.bfloat16,torch.bfloat16,False,False,triton,0,0,0.0091,auto,0.0,2.24,189.89
gfx1250,256,13,6144,8192,False,torch.bfloat16,torch.bfloat16,False,False,triton,0,0,0.0125,auto,0.0,104.57,8073.84
gfx1250,256,13,6144,12288,False,torch.bfloat16,torch.bfloat16,False,False,triton,0,0,0.0207,auto,0.0,94.68,7306.30
gfx1250,256,13,9216,6144,False,torch.bfloat16,torch.bfloat16,False,False,triton,0,0,0.0124,auto,0.0,118.66,9159.79
gfx1250,256,13,9856,6144,False,torch.bfloat16,torch.bfloat16,False,False,triton,0,0,0.0155,auto,0.0,101.77,7855.63
gfx1250,256,13,24576,6144,False,torch.bfloat16,torch.bfloat16,False,False,triton,0,0,0.0376,auto,0.0,104.35,8047.97
gfx1250,256,13,200064,6144,False,torch.bfloat16,torch.bfloat16,False,False,triton,0,0,0.3296,auto,0.0,96.96,7474.65
gfx1250,256,14,128,6144,False,torch.bfloat16,torch.bfloat16,False,False,triton,0,0,0.0092,auto,0.0,2.39,189.50
gfx1250,256,14,6144,8192,False,torch.bfloat16,torch.bfloat16,False,False,triton,0,0,0.0126,auto,0.0,111.41,7989.94
gfx1250,256,14,6144,12288,False,torch.bfloat16,torch.bfloat16,False,False,triton,0,0,0.0207,auto,0.0,102.07,7315.84
gfx1250,256,14,9216,6144,False,torch.bfloat16,torch.bfloat16,False,False,triton,0,0,0.0124,auto,0.0,127.89,9169.66
gfx1250,256,14,9856,6144,False,torch.bfloat16,torch.bfloat16,False,False,triton,0,0,0.0155,auto,0.0,109.31,7836.42
gfx1250,256,14,24576,6144,False,torch.bfloat16,torch.bfloat16,False,False,triton,0,0,0.0379,auto,0.0,111.50,7986.76
gfx1250,256,14,200064,6144,False,torch.bfloat16,torch.bfloat16,False,False,triton,0,0,0.3296,auto,0.0,104.43,7476.62
gfx1250,256,15,128,6144,False,torch.bfloat16,torch.bfloat16,False,False,triton,0,0,0.0092,auto,0.0,2.55,190.38
gfx1250,256,15,6144,8192,False,torch.bfloat16,torch.bfloat16,False,False,triton,0,0,0.0127,auto,0.0,118.53,7935.74
gfx1250,256,15,6144,12288,False,torch.bfloat16,torch.bfloat16,False,False,triton,0,0,0.0208,auto,0.0,108.73,7275.46
gfx1250,256,15,9216,6144,False,torch.bfloat16,torch.bfloat16,False,False,triton,0,0,0.0125,auto,0.0,136.04,9106.03
gfx1250,256,15,9856,6144,False,torch.bfloat16,torch.bfloat16,False,False,triton,0,0,0.0155,auto,0.0,117.08,7835.96
gfx1250,256,15,24576,6144,False,torch.bfloat16,torch.bfloat16,False,False,triton,0,0,0.0379,auto,0.0,119.46,7988.59
gfx1250,256,15,200064,6144,False,torch.bfloat16,torch.bfloat16,False,False,triton,0,0,0.3302,auto,0.0,111.68,7463.97
gfx1250,256,16,128,6144,False,torch.bfloat16,torch.bfloat16,False,False,triton,0,0,0.0093,auto,0.0,2.70,190.58
gfx1250,256,16,6144,8192,False,torch.bfloat16,torch.bfloat16,False,False,triton,0,0,0.0127,auto,0.0,126.41,7936.74
gfx1250,256,16,6144,12288,False,torch.bfloat16,torch.bfloat16,False,False,triton,0,0,0.0206,auto,0.0,117.28,7358.84
gfx1250,256,16,9216,6144,False,torch.bfloat16,torch.bfloat16,False,False,triton,0,0,0.0123,auto,0.0,146.98,9225.97
gfx1250,256,16,9856,6144,False,torch.bfloat16,torch.bfloat16,False,False,triton,0,0,0.0156,auto,0.0,124.30,7801.32
gfx1250,256,16,24576,6144,False,torch.bfloat16,torch.bfloat16,False,False,triton,0,0,0.0387,auto,0.0,124.84,7827.75
gfx1250,256,16,200064,6144,False,torch.bfloat16,torch.bfloat16,False,False,triton,0,0,0.3303,auto,0.0,119.10,7463.95
gfx1250,256,32,128,6144,False,torch.bfloat16,torch.bfloat16,False,False,triton,0,0,0,auto,0.0,0.0,0.0
gfx1250,256,32,6144,8192,False,torch.bfloat16,torch.bfloat16,False,False,triton,0,0,0,auto,0.0,0.0,0.0
gfx1250,256,32,6144,12288,False,torch.bfloat16,torch.bfloat16,False,False,triton,0,0,0,auto,0.0,0.0,0.0
gfx1250,256,32,9216,6144,False,torch.bfloat16,torch.bfloat16,False,False,triton,0,0,0,auto,0.0,0.0,0.0
gfx1250,256,32,9856,6144,False,torch.bfloat16,torch.bfloat16,False,False,triton,0,0,0,auto,0.0,0.0,0.0
gfx1250,256,32,24576,6144,False,torch.bfloat16,torch.bfloat16,False,False,triton,0,0,0,auto,0.0,0.0,0.0
gfx1250,256,32,200064,6144,False,torch.bfloat16,torch.bfloat16,False,False,triton,0,0,0,auto,0.0,0.0,0.0
gfx1250,256,48,128,6144,False,torch.bfloat16,torch.bfloat16,False,False,triton,0,0,0,auto,0.0,0.0,0.0
gfx1250,256,48,6144,8192,False,torch.bfloat16,torch.bfloat16,False,False,triton,0,0,0,auto,0.0,0.0,0.0
gfx1250,256,48,6144,12288,False,torch.bfloat16,torch.bfloat16,False,False,triton,0,0,0,auto,0.0,0.0,0.0
gfx1250,256,48,9216,6144,False,torch.bfloat16,torch.bfloat16,False,False,triton,0,0,0,auto,0.0,0.0,0.0
gfx1250,256,48,9856,6144,False,torch.bfloat16,torch.bfloat16,False,False,triton,0,0,0,auto,0.0,0.0,0.0
gfx1250,256,48,24576,6144,False,torch.bfloat16,torch.bfloat16,False,False,triton,0,0,0,auto,0.0,0.0,0.0
gfx1250,256,48,200064,6144,False,torch.bfloat16,torch.bfloat16,False,False,triton,0,0,0,auto,0.0,0.0,0.0
gfx1250,256,64,128,6144,False,torch.bfloat16,torch.bfloat16,False,False,triton,0,0,0,auto,0.0,0.0,0.0
gfx1250,256,64,6144,8192,False,torch.bfloat16,torch.bfloat16,False,False,triton,0,0,0,auto,0.0,0.0,0.0
gfx1250,256,64,6144,12288,False,torch.bfloat16,torch.bfloat16,False,False,triton,0,0,0,auto,0.0,0.0,0.0
gfx1250,256,64,9216,6144,False,torch.bfloat16,torch.bfloat16,False,False,triton,0,0,0,auto,0.0,0.0,0.0
gfx1250,256,64,9856,6144,False,torch.bfloat16,torch.bfloat16,False,False,triton,0,0,0,auto,0.0,0.0,0.0
gfx1250,256,64,24576,6144,False,torch.bfloat16,torch.bfloat16,False,False,triton,0,0,0,auto,0.0,0.0,0.0
gfx1250,256,64,200064,6144,False,torch.bfloat16,torch.bfloat16,False,False,triton,0,0,0,auto,0.0,0.0,0.0
gfx1250,256,128,128,6144,False,torch.bfloat16,torch.bfloat16,False,False,triton,0,0,0,auto,0.0,0.0,0.0
gfx1250,256,128,6144,8192,False,torch.bfloat16,torch.bfloat16,False,False,triton,0,0,0,auto,0.0,0.0,0.0
gfx1250,256,128,6144,12288,False,torch.bfloat16,torch.bfloat16,False,False,triton,0,0,0,auto,0.0,0.0,0.0
gfx1250,256,128,9216,6144,False,torch.bfloat16,torch.bfloat16,False,False,triton,0,0,0,auto,0.0,0.0,0.0
gfx1250,256,128,9856,6144,False,torch.bfloat16,torch.bfloat16,False,False,triton,0,0,0,auto,0.0,0.0,0.0
gfx1250,256,128,24576,6144,False,torch.bfloat16,torch.bfloat16,False,False,triton,0,0,0,auto,0.0,0.0,0.0
gfx1250,256,128,200064,6144,False,torch.bfloat16,torch.bfloat16,False,False,triton,0,0,0,auto,0.0,0.0,0.0
gfx1250,256,256,128,6144,False,torch.bfloat16,torch.bfloat16,False,False,triton,0,0,0,auto,0.0,0.0,0.0
gfx1250,256,256,6144,8192,False,torch.bfloat16,torch.bfloat16,False,False,triton,0,0,0,auto,0.0,0.0,0.0
gfx1250,256,256,6144,12288,False,torch.bfloat16,torch.bfloat16,False,False,triton,0,0,0,auto,0.0,0.0,0.0
gfx1250,256,256,9216,6144,False,torch.bfloat16,torch.bfloat16,False,False,triton,0,0,0,auto,0.0,0.0,0.0
gfx1250,256,256,9856,6144,False,torch.bfloat16,torch.bfloat16,False,False,triton,0,0,0,auto,0.0,0.0,0.0
gfx1250,256,256,24576,6144,False,torch.bfloat16,torch.bfloat16,False,False,triton,0,0,0,auto,0.0,0.0,0.0
gfx1250,256,256,200064,6144,False,torch.bfloat16,torch.bfloat16,False,False,triton,0,0,0,auto,0.0,0.0,0.0
gfx1250,256,512,128,6144,False,torch.bfloat16,torch.bfloat16,False,False,triton,0,0,0,auto,0.0,0.0,0.0
gfx1250,256,512,6144,8192,False,torch.bfloat16,torch.bfloat16,False,False,triton,0,0,0,auto,0.0,0.0,0.0
gfx1250,256,512,6144,12288,False,torch.bfloat16,torch.bfloat16,False,False,triton,0,0,0,auto,0.0,0.0,0.0
gfx1250,256,512,9216,6144,False,torch.bfloat16,torch.bfloat16,False,False,triton,0,0,0,auto,0.0,0.0,0.0
gfx1250,256,512,9856,6144,False,torch.bfloat16,torch.bfloat16,False,False,triton,0,0,0,auto,0.0,0.0,0.0
gfx1250,256,512,24576,6144,False,torch.bfloat16,torch.bfloat16,False,False,triton,0,0,0,auto,0.0,0.0,0.0
gfx1250,256,512,200064,6144,False,torch.bfloat16,torch.bfloat16,False,False,triton,0,0,0,auto,0.0,0.0,0.0
gfx1250,256,1024,128,6144,False,torch.bfloat16,torch.bfloat16,False,False,triton,0,0,0,auto,0.0,0.0,0.0
gfx1250,256,1024,6144,8192,False,torch.bfloat16,torch.bfloat16,False,False,triton,0,0,0,auto,0.0,0.0,0.0
gfx1250,256,1024,6144,12288,False,torch.bfloat16,torch.bfloat16,False,False,triton,0,0,0,auto,0.0,0.0,0.0
gfx1250,256,1024,9216,6144,False,torch.bfloat16,torch.bfloat16,False,False,triton,0,0,0,auto,0.0,0.0,0.0
gfx1250,256,1024,9856,6144,False,torch.bfloat16,torch.bfloat16,False,False,triton,0,0,0,auto,0.0,0.0,0.0
gfx1250,256,1024,24576,6144,False,torch.bfloat16,torch.bfloat16,False,False,triton,0,0,0,auto,0.0,0.0,0.0
gfx1250,256,1024,200064,6144,False,torch.bfloat16,torch.bfloat16,False,False,triton,0,0,0,auto,0.0,0.0,0.0
gfx1250,256,2048,128,6144,False,torch.bfloat16,torch.bfloat16,False,False,triton,0,0,0,auto,0.0,0.0,0.0
gfx1250,256,2048,6144,8192,False,torch.bfloat16,torch.bfloat16,False,False,triton,0,0,0,auto,0.0,0.0,0.0
gfx1250,256,2048,6144,12288,False,torch.bfloat16,torch.bfloat16,False,False,triton,0,0,0,auto,0.0,0.0,0.0
gfx1250,256,2048,9216,6144,False,torch.bfloat16,torch.bfloat16,False,False,triton,0,0,0,auto,0.0,0.0,0.0
gfx1250,256,2048,9856,6144,False,torch.bfloat16,torch.bfloat16,False,False,triton,0,0,0,auto,0.0,0.0,0.0
